"DatasetLabel","CollectionShortName","CollectionVersion","CollectionConceptId","CollectionEntryId","VariableConceptId","VariableName","LongName","Definition","NativeId","Provider"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384914861-GES_DISC","Albedo_inst","Albedo","Albedo_inst","GLDAS_NOAH025_3H_2.1_Albedo_inst","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384914822-GES_DISC","AvgSurfT_inst","Average Surface Skin temperature","AvgSurfT_inst","GLDAS_NOAH025_3H_2.1_AvgSurfT_inst","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384917415-GES_DISC","CanopInt_inst","Plant canopy surface water","CanopInt_inst","GLDAS_NOAH025_3H_2.1_CanopInt_inst","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384917020-GES_DISC","ECanop_tavg","Canopy water evaporation","ECanop_tavg","GLDAS_NOAH025_3H_2.1_ECanop_tavg","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384917159-GES_DISC","ESoil_tavg","Direct Evaporation from Bare Soil","ESoil_tavg","GLDAS_NOAH025_3H_2.1_ESoil_tavg","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384914791-GES_DISC","Evap_tavg","Evapotranspiration","Evap_tavg","GLDAS_NOAH025_3H_2.1_Evap_tavg","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384917968-GES_DISC","LWdown_f_tavg","Downward long-wave radiation flux","LWdown_f_tavg","GLDAS_NOAH025_3H_2.1_LWdown_f_tavg","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384914456-GES_DISC","Lwnet_tavg","Net long-wave radiation flux","Lwnet_tavg","GLDAS_NOAH025_3H_2.1_Lwnet_tavg","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384917002-GES_DISC","PotEvap_tavg","Potential evaporation rate","PotEvap_tavg","GLDAS_NOAH025_3H_2.1_PotEvap_tavg","GES_DISC"
"GLDAS","GLDAS_NOAH025_3H","2.1","C1342986035-GES_DISC","GLDAS_NOAH025_3H_2.1","V3384917905-GES_DISC","Psurf_f_inst","Pressure","Psurf_f_inst","GLDAS_NOAH025_3H_2.1_Psurf_f_inst","GES_DISC"
